mamarazzi,mama,paparazzi
solunar,solar,lunar
mediocracy,mediocre,cracy
beditation,bed,meditation
swellegant,swell,elegant
mobisode,mobile,episode
stalkerazzi,stalker,paparazzi
musturbation,must,masturbation
windross,windows,dross
animutation,animation,mutation
chlark,chloe,clark
vibracious,vibrant,vivacious
chiraq,chicago,iraq
grocerant,grocery,restaurant
metrosexual,metropolitan,heterosexual
bustaurant,bus,restaurant
stanine,standard,nine
sheriarty,sherlock,moriarty
slanguist,slang,linguist
cyclobutannulation,cyclobutane,annulation
linguism,linguistic,ism
kegerator,keg,refrigerator
eurabia,europe,arabia
brocialist,bro,socialist
bumfoolery,bum,tomfoolery
moredom,more,boredom
californication,california,fornication
anticippointment,anticipation,disappointment
enemedia,enemy,media
diabulimia,diabetes,bulimia
brony,bro,pony
misunderestimate,misunderstand,underestimate
voluntourism,volunteer,tourism
notspot,not,hotspot
renoviction,renovation,eviction
occulture,occult,culture
girus,giant,virus
mad lib,mad,ad lib
sexploitation,sex,exploitation
gorno,gore,porno
loopoid,loop,groupoid
crocoduck,crocodile,duck
devival,de,revival
godcasting,god,podcasting
yogasm,yoga,orgasm
fedge,fence,hedge
santal,santalum,piperonal
buttlegger,butt,bootlegger
scanties,scant,panties
cattitude,cat,attitude
shitizen,shit,citizen
flirtini,flirt,martini
misogynoir,misogyny,noir
fluidram,fluid,dram
breastapo,breast,gestapo
bacover,back,cover
floatel,float,hotel
evilutionist,evil,evolutionist
bullionaire,bullion,billionaire
chinglish,chinese,english
dout,do,out
pretendian,pretend,indian
precariat,precarious,proletariat
subvertisement,subvert,advertisement
vingle,video,single
companding,compressing,expanding
christard,christ,tard
hotlanta,hot,atlanta
angertainment,anger,entertainment
eclection,eclectic,selection
meacock,meek,peacock
evilutionary,evil,evolutionary
crossplay,cross-dressing,cosplay
merby,men,derby
marketecture,market,architecture
chaosphere,chaos,sphere
podule,pod,module
metroplex,metropolitan,complex
grolar,growl,polar
bimboy,bimbo,boy
middlescence,middle age,adolescence
scientificomic,scientifiction,comic
scientifilm,scientifiction,film
stfantasy,stf,fantasy
vomitoxin,vomit,toxin
travelogue,travel,monologue
bashtag,bash,hashtag
crapitalism,crap,capitalism
prostitot,prostitute,tot
wintel,windows,intel
nimber,nim,number
scanxiety,scan,anxiety
wellywood,wellington,hollywood
hobohemian,hobo,bohemian
visioneering,vision,engineering
taglish,tagalog,english
electrocutioner,electrocution,executioner
arabish,arabic,english
godcast,god,podcast
tandemocracy,tandem,democracy
chigger,chink,nigger
fuck-a-doodle-doo,fuck,cock-a-doodle-doo
brohawk,bro,mohawk
anecdata,anecdotal,data
malaphor,malapropism,metaphor
chigga,chinese,nigga
nizzle,nigga,izzle
ebonics,ebony,phonics
muconic,mucic,itaconic
wholetail,wholesale,retail
politicide,political,cide
crunk,crazy,drunk
japanimation,japan,animation
acupressure,acupuncture,pressure
guesstimate,guess,estimate
botel,boat,hotel
veganniversary,vegan,anniversary
fannibal,fan,hannibal
commemorabilia,commemorate,memorabilia
frunk,front,trunk
drainbow,drain,rainbow
ametrine,amethyst,citrine
wegotism,we,egotism
uberveillance,uber,surveillance
chrominance,chroma,luminance
succubitch,succubus,bitch
selectorate,select,electorate
fictionary,fiction,dictionary
hobohemia,hobo,bohemia
glasphalt,glass,asphalt
reflexicon,reflexive,lexicon
slunt,slut,cunt
cafetorium,cafeteria,auditorium
femanon,female,anon
sexploiter,sex,exploiter
invitro,invite,intro
affluential,affluent,influential
