coutaric acid,coumaric acid,tartaric acid
chylaqueous,chyle,aqueous
flexitank,flexible,tank
smombie,smartphone,zombie
multilog,multi,dialog
livecast,live,webcast
oscnode,osculation,node
calfdozer,calf,bulldozer
nitraniline,nitro,aniline
varactor,variable,reactor
malvertisement,malicious,advertisement
workfare,work,welfare
indiglucin,indican,glucin
cataraft,catamaran,raft
man-in-the-browser,man-in-the-middle,browser
payola,pay,victrola
hushaby,hush,lullaby
phreak,phone,freak
flerd,flock,herd
pixmap,pixel,map
macon,mutton,bacon
guncle,gay,uncle
polglish,polish,english
quartene,quartane,ethylene
navaid,navigational,aid
shamy,sheldon,amy
pineberry,pineapple,strawberry
anodium,anodized,aluminum
broccoflower,broccoli,cauliflower
flamadiddle,flam,paradiddle
dotmocracy,dot,democracy
slackcom,slacker,sitcom
kloran,klan,koran
phub,phone,snub
clicktivist,click,activist
euramerica,europe,america
postcede,post,precede
spander,spike,xander
happenstance,happening,circumstance
abend,abnormal,end
foodtography,food,photography
wannarexic,wannabe,anorexic
exergame,exercise,game
iodozone,iodine,ozone
flexisexual,flexible,sexual
parcelcopter,parcel,helicopter
fayettenam,fayetteville,vietnam
cabrewing,canoeing,brewing
conrunner,convention,runner
bleg,blog,beg
corotron,corona,tron
triphibian,tri,amphibian
throffer,threat,offer
charlieplexing,charlie,multiplexing
echoplex,echo,duplex
carcoon,car,cocoon
racenicity,race,ethnicity
hipoisie,hip,bourgeoisie
noseshot,nose,earshot
petronoia,petroleum,paranoia
libshit,liberal,shit
dhallywood,dhaka,hollywood
unlax,unwind,relax
foodprint,food,footprint
helijet,helicopter,jet
blipvert,blip,advert
stfzine,stf,zine
bestshoring,best,offshoring
puggle,pug,beagle
iceteroid,ice,asteroid
mollywood,malayalam,hollywood
howlback,howl,feedback
hoaxocaust,hoax,holocaust
religiofascist,religion,fascist
electret,electricity,magnet
postpend,post,prepend
dolocrete,dolomite,concrete
pinopsin,pineal,opsin
dockominium,dock,condominium
acroyoga,acrobatics,yoga
mixter,mix,mister
rumortism,rumor,rheumatism
cocacolonization,coca-cola,colonization
adultescent,adult,adolescent
zorse,zebra,horse
wiktionary,wiki,dictionary
snowbilly,snow,hillbilly
treelogy,tree,trilogy
shockumentary,shock,documentary
caplet,capsule,tablet
pathetisad,pathetic,sad
globish,global,english
amatoxin,amanita,toxin
pettipants,petticoat,pants
calexit,california,exit
manscara,man,mascara
motorcade,motor,cavalcade
fatshionista,fat,fashionista
whiteanity,white,christianity
bluenette,blue,brunette
stiction,static,friction
newsjacking,news,hijacking
drumstep,drum,dubstep
isogram,isolated,pangram
femfan,female,fan
malestream,male,mainstream
parkade,park,arcade
barkitecture,bark,architecture
sphingolipidome,sphingolipid,genome
netcronym,net,acronym
trumpcare,trump,healthcare
hydrolock,hydrostatic,lock
republocrat,republican,democrat
boylesque,boy,burlesque
lustmaking,lust,making
blidget,blog,widget
buckypaper,buckyball,paper
failscade,fail,cascade
caipivodka,caipirinha,vodka
gayby boom,gay,baby boom
drunkorexia,drunk,anorexia
webisode,web,episode
konglish,korean,english
fancast,fan,broadcast
netherverse,nether,universe
chemiloon,chemise,pantaloon
zoochosis,zoo,psychosis
jackrabbit,jackass,rabbit
slacktivist,slack,activist
romione,ron,hermione
borophene,boron,graphene
pigopoly,pig,monopoly
framily,friend,family
calexico,california,mexico
arabinonucleic,arabinose,nucleic
contrail,condensation,trail
herstory,her,history
ganjapreneur,ganja,entrepreneur
henny,horse,jenny
futch,femme,butch
blogebrity,blog,celebrity
spreadmart,spread,data mart
trichloromethyl,trichloro,methyl
trequel,tri,sequel
intrapreneurial,intra,entrepreneurial
graysexual,gray,asexual
treknobabble,trek,technobabble
plumcot,plum,apricot
cracktro,crack,intro
decaversary,decade,anniversary
blackfold,black,manifold
spim,spam,im
nanozyme,nano,enzyme
booktuber,book,youtuber
pellistor,pellet,resistor
flagkini,flag,bikini
cinnamaldehyde,cinnamon,aldehyde
eddress,e,address
slacktivism,slack,activism
webumentary,web,documentary
telemarketing,telephone,marketing
biketard,bike,leotard
belfie,butt,selfie
muslimstan,muslim,stan
sporgery,spam,forgery
bigature,big,miniature
plastiglomerate,plastic,conglomerate
streetscaping,street,landscaping
maraging,martensitic,aging
interpassive,interactive,passive
bleen,blue,green
trishaw,tri,rickshaw
geekster,geek,hipster
nuplex,nuclear,complex
bullycide,bully,suicide
laplet,laptop,tablet
atomtronics,atom,electronics
acquihire,acquire,hire
triniunity,trinity,unity
sial,si,al
re-up,re-enlist,sign up
bankster,banker,gangster
fembot,female,bot
computerlore,computer,folklore
blurse,blessing,curse
mockamole,mock,guacamole
ketamine,ketone,amine
ghallywood,ghana,hollywood
chromomagnetism,chromodynamics,magnetism
pugeranian,pug,pomeranian
jewfro,jew,afro
blacktag,black,hashtag
boatmobile,boat,bookmobile
clickjacking,click,hijacking
wimbleware,wimbledon,edgware
odderon,odd,pomeron
advertese,advertisement,ese
reich-wing,reich,right-wing
panendeism,panentheism,deism
